Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
mosaic-emerald-tree-boa,,,,,,,,Black,,2XL,,,'9244493,201,,deny,printful,24.99,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-6bedfcdd.png?v=1539575760,oz,,
mosaic-emerald-tree-boa,,,,,,,,Black,,3XL,,,'1012343,213,,deny,printful,24.99,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-6bedfcdd.png?v=1539575760,oz,,
mosaic-emerald-tree-boa,,,,,,,,Heather Grey,,XS,,,'2596934,128,,deny,printful,24.99,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-38e02fb6.png?v=1539575760,oz,,
mosaic-emerald-tree-boa,,,,,,,,Heather Grey,,S,,,'6288550,133,,deny,printful,24.99,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-38e02fb6.png?v=1539575760,oz,,
mosaic-emerald-tree-boa,,,,,,,,Heather Grey,,M,,,'8412734,162,,deny,printful,24.99,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-38e02fb6.png?v=1539575760,oz,,
mosaic-emerald-tree-boa,,,,,,,,Heather Grey,,L,,,'5115646,170,,deny,printful,24.99,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-38e02fb6.png?v=1539575760,oz,,
mosaic-emerald-tree-boa,,,,,,,,Heather Grey,,XL,,,'2784064,187,,deny,printful,24.99,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-38e02fb6.png?v=1539575760,oz,,
mosaic-emerald-tree-boa,,,,,,,,Heather Grey,,2XL,,,'5053006,201,,deny,printful,24.99,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-38e02fb6.png?v=1539575760,oz,,
mosaic-emerald-tree-boa,,,,,,,,Heather Grey,,3XL,,,'7601950,213,,deny,printful,24.99,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-38e02fb6.png?v=1539575760,oz,,
mosaic-emerald-tree-boa,,,,,,,,Royal Blue,,XS,,,'5540091,128,,deny,printful,24.99,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-1c864ee7.png?v=1539575760,oz,,
mosaic-emerald-tree-boa,,,,,,,,Royal Blue,,S,,,'4060906,133,,deny,printful,24.99,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-1c864ee7.png?v=1539575760,oz,,
mosaic-emerald-tree-boa,,,,,,,,Royal Blue,,M,,,'1895979,162,,deny,printful,24.99,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-1c864ee7.png?v=1539575760,oz,,
mosaic-emerald-tree-boa,,,,,,,,Royal Blue,,L,,,'8918954,170,,deny,printful,24.99,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-1c864ee7.png?v=1539575760,oz,,
mosaic-emerald-tree-boa,,,,,,,,Royal Blue,,XL,,,'7537265,187,,deny,printful,24.99,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-1c864ee7.png?v=1539575760,oz,,
mosaic-emerald-tree-boa,,,,,,,,Royal Blue,,2XL,,,'6785011,201,,deny,printful,24.99,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-1c864ee7.png?v=1539575760,oz,,
mosaic-emerald-tree-boa,,,,,,,,Royal Blue,,3XL,,,'6661249,213,,deny,printful,24.99,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-1c864ee7.png?v=1539575760,oz,,
mosaic-emerald-tree-boa,,,,,,,,Gold,,XS,,,'7373054,128,,deny,printful,24.99,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-0cdadd50.png?v=1539575760,oz,,
mosaic-emerald-tree-boa,,,,,,,,Gold,,S,,,'9795834,133,,deny,printful,24.99,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-0cdadd50.png?v=1539575760,oz,,
mosaic-emerald-tree-boa,,,,,,,,Gold,,M,,,'2781458,162,,deny,printful,24.99,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-0cdadd50.png?v=1539575760,oz,,
mosaic-emerald-tree-boa,,,,,,,,Gold,,L,,,'3764871,170,,deny,printful,24.99,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-0cdadd50.png?v=1539575760,oz,,
mosaic-emerald-tree-boa,,,,,,,,Gold,,XL,,,'9033238,187,,deny,printful,24.99,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-0cdadd50.png?v=1539575760,oz,,
mosaic-emerald-tree-boa,,,,,,,,Gold,,2XL,,,'7798054,201,,deny,printful,24.99,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-0cdadd50.png?v=1539575760,oz,,
mosaic-emerald-tree-boa,,,,,,,,Gold,,3XL,,,'2212029,213,,deny,printful,24.99,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2342/8803/products/mockup-0cdadd50.png?v=1539575760,oz,,
